student_id,study_hours,attendance_percentage,class_participation,total_score,grade
559420,21.8,79.3,5.3,100.0,A
72561,17.6,85.5,7.7,100.0,A
964677,20.2,95.3,5.9,100.0,A
641541,17.2,97.2,5.4,100.0,A
13968,20.2,100.0,4.8,97.0,A
330035,13.3,73.4,7.2,100.0,A
910405,16.5,86.8,4.1,88.7,A
880606,21.5,67.7,6.9,97.7,A
855169,26.3,95.8,7.4,100.0,A
563328,21.9,77.6,6.2,89.9,A
630069,17.4,83.3,4.7,97.5,A
748130,15.0,83.5,9.1,85.5,A
208748,20.5,78.0,8.5,100.0,A
153729,15.4,69.3,6.4,89.2,A
356217,17.6,84.2,8.6,98.1,A
664476,18.4,98.7,6.3,92.7,A
672677,14.1,78.8,8.6,93.6,A
274527,26.1,79.8,7.7,100.0,A
262006,25.4,65.0,5.4,100.0,A
721619,15.4,95.1,3.6,92.4,A
788587,27.2,71.5,7.2,100.0,A
77492,22.6,100.0,4.9,100.0,A
387640,18.2,77.9,5.4,95.2,A
300293,24.0,100.0,7.4,100.0,A
854094,17.9,82.9,6.2,92.4,A
958924,14.5,96.0,7.5,91.7,A
606783,18.1,78.8,4.4,100.0,A
19754,23.1,92.3,4.6,100.0,A
659160,20.1,82.2,5.2,95.1,A
192225,20.9,85.5,2.5,100.0,A
180521,20.8,97.2,6.6,99.3,A
773987,10.9,99.0,6.9,100.0,A
584657,19.5,81.0,4.4,89.1,A
450029,17.5,98.4,7.7,100.0,A
425126,15.3,63.6,10.0,90.9,A
850800,24.5,81.1,5.1,100.0,A
918451,6.1,87.4,9.4,86.7,A
884760,12.9,75.3,9.3,98.7,A
763294,26.8,52.3,9.5,100.0,A
783295,21.9,78.6,9.2,93.5,A
8045,21.7,90.0,2.3,100.0,A
73081,20.0,98.4,7.5,93.7,A
215793,16.2,86.0,1.7,85.9,A
154606,23.1,100.0,1.2,88.6,A
173840,17.2,64.1,7.3,91.2,A
23082,25.5,89.1,5.3,100.0,A
977724,21.0,88.9,3.0,91.5,A
978751,19.6,95.6,6.9,95.6,A
775471,24.5,78.6,7.8,100.0,A
150805,21.1,93.4,5.6,100.0,A
307514,24.1,82.8,6.9,100.0,A
944482,28.1,72.9,8.1,100.0,A
157637,12.3,83.5,7.5,87.8,A
155622,17.5,87.5,6.3,100.0,A
753643,21.5,93.8,3.4,100.0,A
368332,19.9,73.2,5.2,100.0,A
202263,15.9,81.2,5.7,100.0,A
974194,15.2,94.3,6.5,90.1,A
657572,17.2,80.3,7.4,100.0,A
336885,14.4,69.3,5.1,92.3,A
949925,17.0,75.4,3.8,100.0,A
522565,15.1,69.7,8.7,91.2,A
944824,24.5,72.1,9.3,100.0,A
162996,23.0,95.1,9.2,91.2,A
97639,20.0,78.5,9.2,91.6,A
703810,17.4,78.5,6.7,100.0,A
381490,17.2,81.0,6.2,90.1,A
600145,19.3,80.1,5.9,91.3,A
546154,14.4,93.8,7.3,92.2,A
332528,14.3,75.4,4.6,100.0,A
90111,19.5,92.0,6.1,96.1,A
926775,17.2,88.4,5.7,93.8,A
346442,28.3,65.8,4.7,100.0,A
331852,17.2,82.7,4.0,95.0,A
221993,29.0,83.7,5.4,100.0,A
170731,12.3,96.8,2.5,100.0,A
7360,28.6,100.0,5.2,100.0,A
704701,23.1,72.1,5.5,100.0,A
37969,17.9,70.5,5.3,100.0,A
345647,22.7,100.0,4.2,100.0,A
64303,14.1,75.5,6.5,100.0,A
229632,19.8,90.5,8.3,88.4,A
550088,16.9,77.3,10.0,94.3,A
284660,13.2,72.2,4.0,85.7,A
615284,16.1,100.0,5.1,100.0,A
19817,16.5,78.2,7.7,91.1,A
80668,29.7,100.0,5.7,100.0,A
571126,16.7,70.8,7.5,100.0,A
646398,25.6,93.9,6.1,100.0,A
755494,16.1,91.5,6.9,96.7,A
758090,12.6,87.9,5.0,88.6,A
356601,22.6,83.8,5.8,97.7,A
512614,11.6,100.0,5.2,93.8,A
627826,23.5,75.1,4.9,94.5,A
472504,18.2,78.8,7.8,100.0,A
680132,18.0,92.6,5.7,89.0,A
299173,24.5,88.4,4.8,96.3,A
204169,13.9,95.8,4.1,85.5,A
559571,18.8,72.4,6.0,94.7,A
964017,15.7,92.5,4.3,95.0,A
907559,17.7,83.7,5.1,100.0,A
216390,6.0,87.4,8.1,94.9,A
489404,20.9,81.7,9.1,100.0,A
14498,31.2,83.6,9.7,100.0,A
838431,23.2,76.0,8.3,100.0,A
35929,22.1,85.5,6.7,100.0,A
702903,15.6,90.3,4.5,91.3,A
71121,22.8,83.1,5.0,100.0,A
505959,20.2,89.8,2.7,100.0,A
730910,11.2,90.9,7.4,92.2,A
945593,12.3,76.0,7.0,88.0,A
542631,16.5,84.0,3.5,97.4,A
609597,19.1,70.0,8.3,100.0,A
144103,17.8,100.0,7.0,94.3,A
743772,11.8,81.6,9.9,100.0,A
624504,12.3,80.9,5.5,87.1,A
862295,22.2,100.0,7.2,100.0,A
991216,21.4,67.0,3.4,100.0,A
677736,33.9,74.0,6.7,100.0,A
699059,10.9,88.5,2.5,87.2,A
749073,23.6,67.9,6.1,100.0,A
668031,20.4,68.8,8.8,100.0,A
46401,12.8,92.1,3.8,95.5,A
889617,24.0,76.8,1.6,100.0,A
830432,27.3,74.6,3.4,100.0,A
142904,19.9,91.1,5.0,100.0,A
150479,27.5,82.3,7.5,100.0,A
48484,33.7,78.1,4.5,100.0,A
372266,15.2,92.2,5.2,100.0,A
887238,25.0,91.7,8.1,100.0,A
506448,14.2,95.2,7.4,86.0,A
898565,24.7,91.2,7.7,100.0,A
767392,21.1,69.7,6.1,100.0,A
585681,13.6,94.7,5.9,87.0,A
564576,10.9,75.4,7.2,88.8,A
406227,27.1,72.1,6.2,100.0,A
27230,15.2,86.3,9.9,85.1,A
875588,16.3,88.2,5.9,94.6,A
561215,17.1,83.0,5.8,100.0,A
30318,28.1,82.4,7.7,100.0,A
430700,24.3,77.7,8.6,98.9,A
811981,21.4,93.0,5.1,100.0,A
612761,20.6,98.9,5.6,91.1,A
254494,23.1,80.3,5.5,100.0,A
541470,26.9,88.0,6.9,100.0,A
196179,9.8,86.5,6.1,100.0,A
940032,15.3,75.9,9.7,100.0,A
867191,19.1,81.0,3.6,100.0,A
334023,18.4,96.6,9.5,91.0,A
237811,18.3,86.1,6.2,81.9,B
929527,6.6,88.0,8.7,72.6,B
609216,14.3,85.7,6.1,77.1,B
956085,12.3,84.2,6.1,81.6,B
955569,17.3,66.4,6.0,72.5,B
5189,8.6,94.1,10.0,76.4,B
554565,13.4,77.2,9.5,83.7,B
68896,14.7,72.2,5.6,76.6,B
559355,5.2,70.3,5.7,72.5,B
511218,10.5,75.7,4.3,73.5,B
153313,12.0,85.8,5.5,76.3,B
640556,13.1,71.7,7.4,84.5,B
279181,14.1,72.8,7.5,76.9,B
104284,16.9,86.7,9.3,76.2,B
432869,15.8,76.0,2.4,80.7,B
205463,13.3,77.8,6.2,74.2,B
873066,15.3,85.3,5.6,82.6,B
503049,18.1,97.1,6.0,73.2,B
844375,15.4,98.8,6.8,80.1,B
529425,9.0,75.0,5.6,78.7,B
746526,11.7,79.0,7.3,79.8,B
184452,9.2,88.0,10.0,80.5,B
597271,20.2,93.3,5.5,82.6,B
999,11.0,76.0,4.4,80.7,B
803887,9.3,93.5,5.6,80.8,B
610612,5.6,90.6,3.1,70.2,B
416944,10.0,100.0,6.7,70.6,B
357351,9.0,79.0,3.3,73.0,B
817983,12.8,96.8,5.5,76.4,B
324468,9.4,83.0,4.3,71.4,B
598551,9.8,80.6,6.6,76.1,B
975562,15.2,93.5,6.9,79.6,B
568921,9.7,78.5,4.4,71.7,B
263955,13.2,76.4,3.9,78.7,B
635268,16.1,80.5,4.5,80.9,B
993704,3.8,91.0,5.3,80.4,B
714399,15.7,86.9,7.0,78.8,B
100751,10.9,98.7,4.2,75.1,B
944671,9.8,90.0,5.5,76.7,B
976701,13.7,77.0,6.2,76.5,B
110283,8.1,98.0,6.0,79.7,B
982318,15.7,99.4,1.6,80.2,B
234935,15.3,96.7,2.5,82.6,B
88638,13.9,74.8,9.0,77.8,B
644158,14.7,100.0,6.3,75.7,B
440089,8.3,65.9,5.4,77.9,B
53232,9.3,84.6,5.6,82.4,B
471119,15.0,86.6,7.4,77.5,B
831484,13.1,85.4,5.6,76.0,B
970648,13.3,100.0,2.3,83.2,B
691591,17.4,80.4,6.3,80.7,B
420796,12.1,74.5,10.0,77.0,B
735101,13.9,75.7,3.6,74.0,B
530709,12.2,84.0,5.3,71.2,B
917800,11.4,79.8,9.1,76.9,B
563779,8.4,75.2,4.3,76.9,B
372643,3.4,80.9,6.2,77.6,B
348484,7.9,81.0,7.5,70.7,B
250925,14.8,85.2,4.9,79.9,B
278579,8.8,94.5,3.3,72.6,B
898009,11.0,95.9,10.0,76.7,B
675745,9.6,91.1,6.2,78.3,B
281018,15.9,75.7,4.0,83.4,B
406328,15.0,100.0,8.2,79.6,B
605036,11.8,67.7,4.5,73.1,B
193879,11.5,65.4,7.2,80.9,B
672012,1.2,95.9,5.4,70.0,B
582447,14.6,92.7,6.4,79.0,B
537195,8.5,78.8,6.4,75.9,B
428988,10.1,93.7,6.2,77.9,B
755743,13.1,81.5,6.8,79.9,B
977888,13.5,94.5,1.6,81.3,B
671275,12.4,77.7,4.0,70.2,B
225139,13.8,85.1,7.5,83.8,B
666584,10.0,84.5,6.9,79.6,B
721120,14.9,91.2,2.4,81.2,B
404360,14.0,57.5,5.9,80.1,B
171434,14.9,100.0,6.5,77.3,B
633015,10.6,74.5,5.2,79.4,B
882506,12.3,86.8,7.4,71.6,B
187276,18.5,76.7,9.8,82.2,B
94313,6.3,97.5,4.7,75.1,B
709896,8.3,83.7,7.6,73.5,B
893546,8.4,83.4,5.9,78.7,B
583293,8.6,93.8,5.9,74.7,B
322823,12.1,82.9,6.7,82.2,B
481176,9.9,81.7,6.0,77.9,B
968834,9.9,86.5,8.7,72.7,B
621313,11.5,95.8,5.2,83.5,B
16595,12.3,74.5,6.3,75.4,B
923214,8.3,92.2,5.4,74.6,B
308440,18.8,76.9,7.9,81.3,B
936014,15.8,92.0,6.3,79.8,B
979277,10.4,93.7,5.4,76.7,B
217886,12.0,84.0,6.3,82.4,B
293686,0.0,85.3,4.1,70.4,B
524909,12.8,73.3,7.6,81.9,B
525078,7.3,92.0,2.7,72.6,B
115156,6.5,72.6,8.9,74.0,B
84256,10.5,70.8,2.7,74.3,B
695500,10.9,87.0,4.8,73.8,B
81999,14.9,94.9,6.5,81.4,B
934321,12.3,94.3,6.8,74.7,B
394884,9.9,100.0,6.9,79.7,B
266265,14.6,78.0,6.1,81.2,B
28828,15.9,89.7,5.8,76.9,B
686449,8.3,68.8,6.9,78.3,B
266619,10.8,83.7,3.8,72.5,B
384505,7.4,94.0,4.4,71.7,B
106498,11.5,76.9,5.7,71.7,B
244636,12.4,84.5,7.6,82.9,B
717168,8.8,83.6,7.0,72.6,B
220343,16.6,88.0,3.3,84.9,B
282164,13.0,92.1,10.0,79.1,B
662516,15.2,88.3,7.5,82.2,B
723220,11.0,63.5,7.3,73.7,B
687125,13.6,84.6,6.9,79.5,B
494331,16.4,100.0,6.2,77.0,B
432715,16.5,82.9,6.1,81.0,B
222573,9.8,75.2,5.3,83.2,B
39140,5.4,77.2,6.2,72.6,B
721230,11.4,98.6,4.7,80.0,B
982899,11.4,91.4,7.6,82.9,B
935403,14.2,85.9,4.8,79.5,B
595804,17.6,100.0,4.8,77.0,B
820446,16.2,89.9,4.7,71.0,B
76335,13.4,68.4,8.3,82.5,B
197696,0.0,83.0,5.0,71.2,B
872057,16.6,100.0,6.4,70.0,B
244781,17.4,92.3,3.5,78.2,B
128267,13.5,83.3,6.0,71.3,B
917085,15.1,76.7,2.8,83.1,B
756268,11.8,88.4,3.7,76.0,B
657976,13.9,73.5,0.4,75.8,B
429104,7.1,82.0,5.0,79.8,B
186749,14.9,74.3,5.8,79.6,B
360189,9.7,78.0,4.5,74.7,B
736164,9.5,76.3,5.7,76.9,B
772364,12.3,69.4,6.3,84.5,B
222833,16.0,86.4,6.6,80.8,B
677770,17.1,84.1,5.9,82.9,B
316172,5.6,91.5,6.4,74.4,B
802176,15.0,81.4,5.3,82.5,B
965696,15.5,83.9,10.0,81.4,B
6318,11.3,70.8,7.3,70.1,B
280401,10.4,66.5,2.8,75.3,B
893072,10.8,91.0,8.2,78.1,B
753987,14.8,69.8,5.3,74.4,B
105097,15.4,69.9,3.7,84.8,B
195287,17.3,86.6,2.1,81.4,B
534461,15.2,74.1,6.4,74.3,B
778743,6.5,95.7,10.0,82.0,B
884685,8.1,72.0,8.7,74.3,B
546245,9.3,89.8,5.1,79.5,B
430783,13.6,91.9,4.5,73.9,B
34543,8.7,66.8,4.6,74.8,B
271586,5.0,77.5,8.1,81.7,B
851709,16.0,75.9,5.0,79.0,B
320071,11.1,100.0,3.7,79.6,B
683039,8.9,83.9,6.8,75.6,B
736004,14.6,81.9,4.0,80.6,B
186360,16.8,82.6,3.3,82.5,B
336911,15.7,83.8,5.6,74.7,B
330510,13.4,86.3,6.6,76.1,B
522568,20.8,88.3,4.3,84.2,B
257867,11.4,100.0,4.6,83.0,B
834685,15.1,80.5,6.4,77.5,B
70633,16.5,68.3,6.6,79.9,B
307462,6.8,90.3,7.2,77.4,B
672517,14.7,91.4,5.4,75.8,B
664883,11.9,85.0,4.9,70.1,B
557584,9.6,89.5,4.5,84.0,B
564252,7.6,67.6,5.8,70.3,B
152155,6.6,92.0,6.9,76.6,B
517787,7.8,100.0,4.2,78.1,B
156426,14.1,91.4,3.7,77.0,B
390043,7.5,84.4,5.8,75.0,B
849482,10.0,96.2,6.0,83.7,B
854459,11.7,78.1,8.3,77.6,B
903232,0.0,77.9,7.2,71.1,B
408729,10.7,96.2,3.4,75.5,B
963898,16.2,53.9,4.1,83.1,B
455515,8.3,87.9,9.9,75.6,B
486413,19.7,67.4,6.3,82.1,B
661648,11.6,78.8,5.5,71.4,B
831483,12.0,100.0,6.0,71.4,B
977666,8.8,76.4,0.4,83.4,B
812532,12.8,94.7,5.1,74.5,B
285086,9.6,88.7,5.5,73.8,B
499263,16.9,58.8,5.0,78.1,B
1145,13.8,78.1,5.1,76.2,B
282816,15.6,97.8,6.7,78.9,B
42907,9.3,94.7,5.1,79.0,B
697467,9.3,85.7,6.8,83.8,B
105284,13.5,80.6,7.2,84.5,B
683893,8.6,89.3,10.0,72.9,B
856911,6.8,80.2,5.5,76.2,B
9717,16.8,81.0,5.1,83.2,B
750377,12.6,77.4,6.6,71.1,B
744207,12.3,89.5,4.9,76.1,B
408905,4.0,73.8,4.9,56.8,C
426149,9.6,88.5,4.0,56.6,C
158216,2.7,94.9,4.7,66.2,C
34585,8.9,80.7,7.9,62.2,C
687944,5.6,84.1,3.7,66.9,C
628577,11.6,88.9,6.6,69.5,C
866889,7.2,91.8,4.4,63.0,C
596038,8.3,77.9,5.8,62.0,C
521584,3.6,90.7,5.0,64.8,C
995913,9.2,67.9,7.0,59.5,C
748472,7.3,83.0,8.3,69.9,C
497696,10.5,100.0,4.7,67.2,C
766530,7.0,83.8,4.0,61.5,C
339663,13.7,86.0,6.3,62.0,C
793538,9.6,97.8,2.7,64.1,C
992030,11.1,71.7,6.5,65.9,C
408948,5.6,83.8,4.5,64.7,C
858497,5.7,100.0,7.8,64.5,C
418500,2.5,100.0,5.6,68.7,C
523084,5.9,64.0,7.3,59.1,C
189657,2.4,81.2,4.6,58.6,C
686678,8.1,92.1,3.0,67.2,C
984989,9.2,77.3,5.2,61.8,C
716012,5.3,89.4,5.4,55.2,C
827088,4.2,81.8,6.0,67.9,C
993280,4.4,80.0,6.5,68.8,C
98562,4.1,80.5,6.9,56.0,C
909048,12.3,90.6,4.4,65.0,C
768853,6.4,100.0,7.6,57.4,C
585721,6.8,97.6,6.6,62.5,C
40981,9.0,81.7,10.0,64.6,C
528169,10.1,100.0,5.9,69.3,C
441100,6.1,87.2,3.1,62.7,C
673530,13.3,100.0,6.3,69.3,C
453240,8.2,75.4,6.4,64.0,C
113455,8.7,84.9,5.1,63.3,C
813579,8.9,87.0,5.7,67.0,C
671560,9.4,100.0,10.0,65.9,C
655737,0.0,97.8,5.6,62.8,C
6154,8.9,73.8,5.8,63.6,C
72373,13.1,74.4,7.4,70.0,C
580574,9.3,78.0,6.3,69.7,C
689437,2.2,100.0,7.0,58.7,C
638237,2.5,95.3,4.7,57.8,C
313719,7.6,73.5,5.0,65.0,C
980364,6.6,76.1,6.6,57.6,C
803113,9.9,86.9,8.9,64.1,C
699181,10.0,82.0,2.5,67.3,C
944253,6.5,81.7,5.7,67.4,C
392287,6.8,91.9,4.6,64.2,C
558389,8.4,97.6,5.9,56.0,C
739454,8.8,86.5,4.5,63.3,C
147622,9.6,100.0,5.0,61.2,C
627523,8.4,88.0,3.8,67.4,C
757399,5.7,79.8,6.1,63.9,C
133908,2.9,86.3,7.2,56.7,C
219353,7.4,67.5,9.4,67.1,C
76774,11.8,78.4,4.1,66.6,C
353898,3.7,66.6,5.1,55.2,C
29899,9.9,96.6,1.4,65.2,C
473802,1.3,70.2,10.0,66.4,C
971122,7.0,81.0,8.3,60.6,C
573807,1.9,88.2,5.9,56.1,C
474683,11.7,82.5,3.0,62.1,C
854468,6.9,73.8,4.2,55.7,C
761886,9.6,74.3,6.1,66.5,C
940862,9.7,76.3,6.8,55.1,C
207632,2.7,66.4,1.4,66.1,C
27193,7.1,89.6,4.4,61.8,C
324162,12.3,100.0,6.6,68.3,C
43418,0.0,82.2,5.9,56.6,C
300624,7.5,90.3,5.1,61.2,C
732991,7.0,90.5,4.5,59.4,C
792063,8.3,74.1,6.2,56.2,C
954878,12.7,84.8,6.1,66.2,C
654665,8.1,81.2,7.6,66.2,C
659044,0.2,80.8,6.0,64.0,C
824880,7.1,74.7,3.9,61.1,C
564851,0.3,80.2,5.7,58.8,C
882649,9.4,74.6,6.8,59.2,C
841483,0.0,68.0,7.7,59.8,C
975004,9.2,86.5,4.0,69.7,C
537986,8.3,87.5,4.9,61.8,C
37126,15.5,86.2,6.0,68.6,C
671426,6.8,89.5,7.7,60.3,C
340294,1.0,77.1,4.2,55.8,C
728862,7.4,87.4,6.5,63.5,C
85863,6.9,85.3,5.5,66.6,C
953721,10.2,83.6,3.8,56.1,C
441314,10.2,86.6,8.4,55.3,C
439220,10.6,78.9,5.9,61.3,C
576752,8.7,96.6,5.1,69.3,C
150269,10.6,86.0,6.4,55.6,C
905656,7.3,96.2,9.0,67.0,C
553830,11.0,91.3,5.9,66.7,C
369726,2.5,77.4,3.8,58.5,C
996118,2.7,71.7,7.5,57.3,C
298015,4.2,99.2,3.1,60.3,C
548030,0.4,79.9,5.8,58.8,C
328414,5.1,83.3,2.7,68.5,C
318775,13.9,86.8,7.8,63.1,C
315198,8.7,90.1,5.9,61.7,C
234811,7.8,85.8,3.6,64.2,C
4129,9.9,80.2,3.0,59.0,C
674050,5.5,92.5,5.8,56.0,C
130165,9.5,73.6,6.5,65.6,C
774025,7.9,71.6,5.8,68.2,C
710269,6.5,77.1,6.3,66.5,C
151337,9.9,76.2,7.9,66.5,C
367843,12.6,93.1,3.7,62.3,C
992374,11.0,76.6,4.8,69.5,C
321193,10.1,88.5,8.1,65.9,C
945627,10.9,84.5,2.8,62.1,C
447351,7.3,78.9,7.6,58.5,C
644261,16.2,70.6,5.7,69.4,C
340960,7.5,95.6,2.3,66.6,C
880585,8.1,74.9,8.1,65.8,C
289579,8.9,78.3,2.8,67.5,C
752149,11.0,85.3,3.1,65.1,C
530076,6.0,71.9,5.9,67.3,C
534459,8.4,76.4,5.0,61.4,C
583351,6.4,100.0,7.2,59.0,C
268528,3.2,90.2,8.9,55.3,C
446620,7.7,83.0,3.4,62.9,C
561658,5.6,83.8,7.9,58.7,C
357280,9.5,86.6,7.7,65.1,C
254290,2.3,83.5,5.7,58.5,C
728581,15.9,77.7,6.2,66.3,C
111011,5.9,81.5,8.8,58.6,C
144205,8.5,76.2,8.4,67.0,C
154274,5.3,88.8,9.5,56.7,C
621556,9.8,78.5,6.1,60.1,C
198439,13.2,76.2,4.8,67.3,C
57428,5.8,81.7,6.4,67.3,C
908586,9.5,77.8,4.8,57.0,C
951022,9.2,79.0,6.3,61.8,C
81656,2.7,73.1,8.3,62.0,C
15528,11.4,100.0,5.2,69.1,C
66822,9.1,82.1,8.7,58.6,C
198206,4.8,99.7,7.3,63.0,C
516699,10.2,88.8,5.2,64.6,C
852567,10.6,82.9,6.7,69.7,C
706439,10.9,80.9,9.0,63.4,C
753116,8.9,93.3,5.6,65.9,C
138745,2.3,97.7,6.0,64.4,C
345447,7.1,82.6,5.9,67.6,C
630242,0.0,88.8,7.2,61.6,C
769966,6.2,85.5,6.3,66.6,C
849420,9.4,72.9,8.5,69.0,C
15570,6.4,72.2,7.9,62.7,C
824139,2.7,89.6,2.8,56.4,C
212811,0.2,71.2,5.5,59.5,C
187529,5.9,95.0,7.7,57.4,C
269617,0.0,96.0,5.0,60.8,C
178733,8.3,86.5,5.9,59.7,C
756233,9.3,81.3,7.6,63.7,C
716519,13.4,88.3,0.0,65.6,C
827273,2.8,100.0,4.1,61.4,C
547586,11.2,79.8,8.0,59.7,C
581163,7.7,85.3,7.0,56.0,C
852405,5.2,91.3,8.3,55.7,C
325531,10.4,100.0,8.7,63.5,C
989445,11.5,88.2,7.3,67.3,C
852443,7.1,74.6,7.1,61.4,C
195016,2.4,92.3,4.5,58.5,C
418216,14.2,74.7,7.8,69.4,C
600111,8.2,75.6,4.1,68.1,C
696881,9.3,83.9,3.8,69.6,C
236869,7.9,91.5,9.5,59.1,C
566467,5.3,81.9,7.4,68.1,C
706027,6.9,77.7,6.0,56.6,C
291971,5.0,87.1,8.5,55.0,C
144722,6.2,75.2,6.6,65.3,C
207092,8.3,69.7,9.4,67.2,C
745780,1.2,89.1,7.4,60.5,C
22489,9.4,61.4,7.9,66.0,C
871047,9.8,81.7,4.9,61.0,C
125588,4.6,90.6,6.7,61.9,C
888231,9.5,100.0,6.2,60.3,C
533700,5.8,93.0,9.2,68.9,C
807139,6.8,88.1,9.7,60.8,C
135302,7.5,97.7,3.6,63.8,C
668696,5.6,80.1,6.4,65.2,C
945950,13.1,81.0,2.5,64.8,C
26801,5.4,89.5,4.6,63.5,C
961750,10.7,87.3,6.1,68.3,C
499265,1.3,83.9,7.8,55.5,C
189966,5.7,94.0,5.9,58.8,C
885907,11.0,71.6,5.9,59.1,C
786191,9.5,91.8,9.4,60.2,C
716979,7.5,89.1,6.3,64.2,C
738671,9.0,93.2,3.9,64.9,C
422937,9.8,80.5,8.4,69.1,C
759024,5.8,76.3,3.3,57.3,C
633304,10.9,97.5,9.8,64.5,C
416449,5.8,85.9,5.6,56.6,C
16160,10.2,77.4,5.2,67.9,C
909074,1.5,93.2,8.0,56.8,C
39755,7.3,83.0,8.3,67.8,C
883511,8.6,85.4,4.8,66.1,C
512353,1.8,77.0,6.9,42.5,D
219661,0.0,93.6,7.7,46.2,D
197850,4.9,77.6,6.5,50.0,D
303688,9.9,82.3,5.6,54.3,D
888062,1.7,84.1,7.6,52.2,D
409913,5.7,91.5,4.1,49.4,D
394020,5.8,84.2,4.4,53.4,D
802274,0.1,87.4,6.9,48.3,D
713534,6.7,88.2,6.1,52.7,D
390243,2.9,70.5,8.5,49.2,D
970331,4.9,78.6,4.8,51.9,D
929245,1.8,98.2,5.0,53.3,D
34881,9.3,96.2,3.3,41.1,D
587467,2.1,91.4,4.7,53.3,D
575523,4.3,85.7,5.4,46.7,D
234321,4.4,81.9,4.7,47.9,D
355326,1.1,91.1,5.9,48.1,D
825536,5.7,82.8,7.9,54.8,D
537386,2.7,76.1,5.0,51.6,D
731220,8.3,94.9,8.0,55.0,D
200522,3.2,94.4,7.1,46.9,D
676408,3.0,79.8,5.7,52.4,D
679747,5.5,84.2,5.6,55.0,D
31240,4.0,73.3,3.7,54.1,D
613912,0.0,90.7,6.6,48.9,D
540691,6.4,81.9,6.2,42.0,D
328762,3.2,80.5,7.0,47.3,D
879783,3.9,67.9,10.0,44.9,D
372323,6.4,76.1,5.4,54.0,D
331961,4.2,81.3,4.9,43.4,D
639295,2.8,72.7,6.1,54.9,D
198516,0.0,78.9,7.4,54.3,D
947140,0.8,90.2,7.4,47.9,D
892113,0.3,81.3,3.7,54.0,D
741029,0.0,97.9,7.5,46.6,D
829475,0.0,73.8,9.0,44.9,D
911041,5.1,91.7,4.8,50.1,D
291373,4.8,81.9,3.2,51.8,D
986152,4.4,91.9,4.3,54.1,D
494486,9.6,79.1,3.8,53.8,D
537795,0.0,58.7,7.5,48.1,D
648285,7.8,100.0,9.6,50.0,D
568272,0.0,100.0,9.1,50.6,D
167025,11.0,95.4,3.1,50.0,D
118713,4.2,77.9,6.3,52.4,D
66547,2.2,59.1,7.5,51.3,D
526816,10.2,96.2,3.3,49.5,D
130539,5.3,65.6,7.1,48.8,D
918200,3.5,60.5,4.6,53.9,D
845820,0.8,87.1,8.2,45.2,D
214632,0.0,100.0,8.3,41.4,D
976261,0.8,78.7,2.4,42.2,D
726538,0.8,76.6,2.1,50.0,D
906559,4.1,78.7,7.6,51.2,D
282355,10.3,79.8,0.8,49.5,D
164977,4.7,95.6,4.3,53.7,D
599706,10.3,75.9,4.6,44.3,D
511852,6.6,79.0,5.7,52.5,D
667443,5.8,84.5,3.5,53.9,D
972386,5.2,92.9,3.3,51.2,D
323538,6.0,89.8,4.7,51.0,D
753365,3.3,86.1,5.1,51.0,D
692591,2.4,92.7,5.2,51.1,D
